what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940012964
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1411940019486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940019763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940026058
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1411940027369
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1411940028911
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411940036079
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1411940036591
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1411940036594
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1411940036597
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1411940041402
started,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1411940042512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940042849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940051243
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1411940051258
opened,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1411940052750
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1411940053192
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1411940053198
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1411940054822
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/ece385/lab7_usb/software/usb_kb/usb_kb.elf] return code: 4, 'other error'",1411940060459
error,log,,,"Downloading ELF Process failed",1411940060467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940060503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940061862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940065231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940100261
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411940108274
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411940141716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1411940156367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1411940156487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411940159624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411940163782
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1411940165834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940166106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940168783
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411940171002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940174421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411940179950
