what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1411930390603
started,bundle,com.altera.sbtgui.integration,14.0.0.200,"com.altera.sbtgui.integration",1411930390603
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1411930390604
started,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1411930390604
started,bundle,com.altera.systemconsole,14.0.0.200,"com.altera.systemconsole",1411930390604
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1411930390605
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1411930390605
os,sysinfo,,,"win32",1411930390608
arch,sysinfo,,,"x86_64",1411930390608
ws,sysinfo,,,"win32",1411930390608
locale,sysinfo,,,"en_US",1411930390608
processors,sysinfo,,,"8",1411930390608
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1411930390608
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1411930390608
java.specification.name,sysinfo,,,"Java Platform API Specification",1411930390608
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1411930390608
java.specification.version,sysinfo,,,"1.6",1411930390608
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1411930390608
java.version,sysinfo,,,"1.6.0_23",1411930390608
java.vm.info,sysinfo,,,"mixed mode",1411930390608
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1411930390608
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1411930390608
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1411930390608
java.vm.specification.version,sysinfo,,,"1.0",1411930390608
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1411930390608
java.vm.version,sysinfo,,,"19.0-b09",1411930390608
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411930391765
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411930393521
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411930393577
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1411930393674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930402923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930771780
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411930776901
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1411930777096
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411930780216
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411930780933
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1411930784353
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1411930784363
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1411930784363
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1411930784364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930784394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930788688
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1411930791044
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1411930791049
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1411930791055
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1411930792847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930793122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930800135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930812491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930829765
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411930829827
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1411930837738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930838009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930839725
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411930847335
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1411930856191
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1411930857562
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411930881838
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411930891027
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1411930891371
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1411930891454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930896561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930898541
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1411930898547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930898834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930898957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930899481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411930902050
